"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2001","2001","PER","Persons","0","Units",,,501752,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2002","2002","PER","Persons","0","Units",,,483255,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2003","2003","PER","Persons","0","Units",,,468783,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2004","2004","PER","Persons","0","Units",,,445968,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2005","2005","PER","Persons","0","Units",,,438804,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2006","2006","PER","Persons","0","Units",,,427428,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2007","2007","PER","Persons","0","Units",,,436368,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2008","2008","PER","Persons","0","Units",,,413524,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2009","2009","PER","Persons","0","Units",,,401823,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2010","2010","PER","Persons","0","Units",,,374818,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2011","2011","PER","Persons","0","Units",,,396374,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2012","2012","PER","Persons","0","Units",,,387978,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2013","2013","PER","Persons","0","Units",,,377481,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2014","2014","PER","Persons","0","Units",,,392912,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2015","2015","PER","Persons","0","Units",,,396891,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2016","2016","PER","Persons","0","Units",,,399872,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2017","2017","PER","Persons","0","Units",,,393492,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2018","2018","PER","Persons","0","Units",,,399293,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2019","2019","PER","Persons","0","Units",,,387276,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2020","2020","PER","Persons","0","Units",,,330269,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2021","2021","PER","Persons","0","Units",,,325691,,
"ARM","Armenia","T-ACCI-KIL","Road fatalities (30 days)","2000","2000","PER","Persons","0","Units",,,214,,
"ARM","Armenia","T-ACCI-KIL","Road fatalities (30 days)","2001","2001","PER","Persons","0","Units",,,237,,
"ARM","Armenia","T-ACCI-KIL","Road fatalities (30 days)","2002","2002","PER","Persons","0","Units",,,235,,
"ARM","Armenia","T-ACCI-KIL","Road fatalities (30 days)","2003","2003","PER","Persons","0","Units",,,252,,
"ARM","Armenia","T-ACCI-KIL","Road fatalities (30 days)","2004","2004","PER","Persons","0","Units",,,259,,
"ARM","Armenia","T-ACCI-KIL","Road fatalities (30 days)","2005","2005","PER","Persons","0","Units",,,310,,
"ARM","Armenia","T-ACCI-KIL","Road fatalities (30 days)","2006","2006","PER","Persons","0","Units",,,332,,
"ARM","Armenia","T-ACCI-KIL","Road fatalities (30 days)","2007","2007","PER","Persons","0","Units",,,371,,
"ARM","Armenia","T-ACCI-KIL","Road fatalities (30 days)","2008","2008","PER","Persons","0","Units",,,407,,
"ARM","Armenia","T-ACCI-KIL","Road fatalities (30 days)","2009","2009","PER","Persons","0","Units",,,325,,
"ARM","Armenia","T-ACCI-KIL","Road fatalities (30 days)","2010","2010","PER","Persons","0","Units",,,294,"E","Estimated value"
